total_ms,count,per_token_rank_ms,avg_us,min_us,max_us,name
9.787635,4816,0.17477919642857143,2.0323162375415285,1.824,2.625,"dsv4_mhc_post_kernel(const unsigned short *, const unsigned short *, const float *, const float *, unsigned short *, int, int, int)"
8.087998,4872,0.14442853571428574,1.6600981116584566,1.536,2.176,"void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>>(const T1 *, T1, T4, int, const T1 *, T1, T5, T6, cublasPointerMode_t, cublasLtEpilogue_t, cublasGemvTensorStridedBatched<const biasType<T6::value_type, T1>::type>)"
7.729678,2408,0.1380299642857143,3.209999169435216,2.975,3.425,"dsv4_prepare_q_kernel(const unsigned short *, unsigned short *, int, int, int, int, int, float, float, int, float, float, float)"
7.268243,4816,0.12979005357142856,1.509186669435216,1.408,1.824,"dsv4_mhc_pre_kernel(const unsigned short *, const float *, unsigned short *, int, int, int)"
6.906051,1356,0.12332233928571427,5.092957964601769,4.385,5.6,"dsv4_pack_received_experts_kernel(const unsigned short *, const int *, const int *, int *, unsigned short *, int *, float *, int *, int, int, int, int)"
6.263363,2408,0.11184576785714286,2.601064368770764,2.304,2.848,"dsv4_prepare_k_kernel(const unsigned short *, unsigned short *, int, int, int, int, float, int, float, float, float)"
6.03129,4214,0.10770160714285715,1.43125059326056,1.28,1.568,"dsv4_swiglu_clamped_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
5.312711,2408,0.09486983928571428,2.2062753322259137,2.017,2.529,"dsv4_combine_route_outputs_kernel(const unsigned short *, const int *, unsigned short *, int, int, int)"
3.661698,9,0.06538746428571428,406.8553333333333,405.92,407.393,"gemv_handwritten_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
3.26929,2408,0.05838017857142857,1.3576785714285715,1.055,1.856,"dsv4_count_expert_ranks_kernel(const int *, int *, int, int, int, int)"
3.04934,2408,0.0544525,1.2663372093023257,1.055,1.44,"add_native_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int)"
2.854262,1806,0.050968964285714284,1.5804330011074195,1.472,1.888,"dsv4_scatter_packed_route_slot_kernel(const unsigned short *, unsigned short *, const int *, const float *, int, int, int)"
2.755246,2408,0.04920082142857143,1.1442051495016612,0.928,1.313,"dsv4_update_window_cache_kernel(const unsigned short *, unsigned short *, int, int, int, int)"
1.827495,1356,0.03263383928571429,1.3477101769911506,1.055,1.633,"dsv4_count_packed_local_experts_kernel(const int *, int *, int, int, int)"
0.859711,56,0.015351982142857143,15.351982142857143,14.976,15.776,"dsv4_mhc_head_pre_kernel(const unsigned short *, const unsigned short *, const unsigned short *, const unsigned short *, unsigned short *, int, int, int, float)"
0.44067,34,0.007869107142857143,12.960882352941177,12.32,13.792,"argmax_kernel_fast(const __nv_bfloat16 *, int *, int)"
0.156798,56,0.0027999642857142854,2.7999642857142857,2.591,3.072,"rms_norm_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
0.120735,56,0.0021559821428571426,2.155982142857143,1.824,2.752,"embedding_batched_native_kernel(const __nv_bfloat16 *, const int *, __nv_bfloat16 *, int, int)"
0.084125,56,0.001502232142857143,1.5022321428571428,1.44,1.696,"dsv4_mhc_expand_kernel(const unsigned short *, unsigned short *, int, int, int)"
